[0, 0, 0, 0, 2, 0]	1.91	2.0
[0, 0, 1, 2, 1, 2]	4.08	5.0
[0, 3, 0, 0, 1, 2]	3.53	4.0
[0, 0, 0, 0, 0, 0]	0.0	0.0
[0, 0, 0, 2, 3, 1]	4.23	5.0
[0, 0, 0, 3, 3, 0]	4.07	5.0
[2, 0, 0, 1, 2, 0]	2.67	3.0
[2, 0, 1, 2, 1, 0]	2.96	4.0
[0, 4, 1, 1, 0, 0]	2.74	4.0
[0, 0, 0, 0, 3, 3]	4.69	5.0
[0, 0, 0, 0, 5, 0]	3.81	4.0
[1, 0, 1, 3, 1, 0]	3.35	4.0
[1, 0, 1, 0, 0, 1]	1.91	3.0
[0, 3, 0, 0, 0, 0]	1.36	2.0
[0, 2, 2, 0, 0, 1]	2.69	4.0
[0, 0, 0, 0, 5, 1]	4.49	5.0
[0, 3, 0, 2, 0, 1]	3.18	4.0
[0, 0, 1, 5, 0, 0]	3.72	4.0
[0, 0, 2, 1, 2, 0]	3.15	4.0
[0, 0, 0, 1, 4, 1]	4.35	5.0
[0, 1, 0, 0, 0, 2]	2.35	3.0
[1, 1, 0, 0, 2, 2]	3.74	4.0
[1, 2, 0, 0, 0, 0]	1.25	2.0
[0, 0, 2, 0, 1, 1]	2.75	3.0
[2, 3, 0, 0, 1, 0]	2.41	3.0
[0, 0, 1, 1, 2, 1]	3.45	4.0
[1, 0, 0, 0, 0, 5]	4.47	5.0
[0, 4, 0, 1, 1, 0]	2.93	4.0
[0, 1, 1, 4, 0, 0]	3.45	4.0
[1, 0, 0, 0, 0, 4]	3.73	4.0
[0, 1, 1, 1, 3, 0]	3.66	4.0
[0, 0, 1, 1, 3, 1]	4.1	5.0
[1, 0, 1, 0, 0, 2]	2.61	3.0
[1, 0, 0, 0, 2, 3]	4.2	5.0
[2, 2, 1, 1, 0, 0]	2.41	3.0
[0, 3, 1, 1, 0, 1]	3.07	4.0
[0, 4, 1, 0, 0, 0]	2.27	3.0
[2, 1, 0, 2, 1, 0]	2.84	4.0
[1, 0, 0, 0, 0, 1]	1.48	2.0
[0, 0, 1, 0, 0, 4]	3.96	5.0
[0, 1, 1, 1, 1, 0]	2.4	3.0
[2, 2, 0, 1, 1, 0]	2.58	3.0
[0, 1, 3, 1, 0, 1]	3.35	4.0
[0, 1, 0, 3, 0, 0]	2.5	3.0
[0, 2, 2, 1, 0, 1]	3.18	4.0
[0, 0, 1, 2, 1, 1]	3.34	4.0
[1, 2, 1, 2, 0, 0]	2.77	4.0
[1, 0, 0, 2, 0, 1]	2.5	3.0
[1, 0, 0, 3, 0, 1]	3.02	4.0
[0, 0, 0, 2, 1, 1]	2.96	4.0
[4, 0, 0, 0, 1, 1]	2.53	3.0
[1, 1, 2, 0, 1, 0]	2.45	3.0
[0, 4, 0, 0, 2, 0]	3.06	4.0
[0, 1, 0, 1, 1, 3]	4.2	5.0
[0, 1, 2, 1, 0, 2]	3.61	4.0
[1, 0, 0, 3, 2, 0]	3.56	4.0
[3, 0, 0, 0, 0, 2]	2.52	3.0
[0, 1, 1, 0, 0, 0]	1.19	2.0
[0, 2, 0, 1, 0, 2]	3.11	4.0
[0, 0, 0, 0, 0, 3]	2.84	3.0
[0, 1, 0, 1, 3, 0]	3.29	4.0
[0, 0, 0, 0, 1, 4]	4.19	5.0
